PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,D,1,15,R,-19,Run,Rush,2,,,,,,,,BLUE,,1
2,D,2,13,R,-21,Pass,"Complete, TD",79,,,,,,,BASE,BLUE,,1
3,O,1,10,M,-20,Run,Fumble,0,TREY,ZIP READ,,,,,,,,1
4,D,1,10,L,22,,Timeout,0,,,,,,,,,,1
5,D,1,10,L,22,Pass,Incomplete,0,,,,,,,BASE,ORANGE,,1
6,D,2,10,L,22,Run,Rush,0,,,,,,,BASE,BLUE,,1
7,D,3,10,M,22,Pass,Fumble,,,,,,,,BASE,BLUE,,1
8,O,1,10,M,-25,Run,Rush,6,LT DOS,AKRON READ,,,,,,,,1
9,O,2,4,M,-31,Pass,Fumble,0,LT DOS,CREASE,,,,,,,,1
10,D,1,10,M,31,Pass,Incomplete,0,,,,,,,BASE,BLUE,,1
11,D,2,10,L,31,Pass,Complete,15,,,,,,,40,THUNDER,COBRA,1
12,D,1,10,L,16,Run,Rush,0,,,,,,,BASE,BLUE,,1
13,D,2,10,R,16,Run,"Rush, TD",16,,,,,,,BASE,THUNDER,,1
14,O,1,10,M,-15,Pass,Complete,8,LT TRIO BACK,COUGAR GUY,,,,,,,,1
15,O,2,2,R,-23,Run,Penalty,-9,DOS BACK SQUEEZE,SOONER READ,,,,,,,,1
16,O,2,11,R,-14,Run,Rush,10,LT DOS BACK 1,OKLAHOMA X FLY,,,,,,,,1
17,O,3,1,R,-24,Run,Rush,2,TROFF,DEVIL,,,,,,,,1
18,O,1,10,L,-26,Pass,Incomplete,0,TROFF,ZORRO,,,,,,,,1
19,O,2,10,M,-26,Run,Rush,11,LT DING,TEXAS BOP,,,,,,,,1
20,O,1,10,M,-37,Run,Rush,2,TRACE YAK,HOUSTON READ,,,,,,,,1
21,O,2,8,M,-39,Pass,Complete,6,TRACE YAK,OKLAHOMA READ,,,,,,,,1
22,O,3,2,L,-45,Pass,Incomplete,0,DING,ZIP REAM,,,,,,,,1
23,D,1,10,L,45,Pass,Complete,3,,,,,,,BASE,BLUE,,1
24,D,2,7,L,42,Run,Rush,9,,,,,,,BASE,LIGHTNING,BULLETS,1
25,D,1,10,L,33,Run,Rush,8,,,,,,,WIDE,BLUE,,1
26,D,2,2,L,25,Run,Rush,2,,,,,,,BASE,BLUE,,1
27,D,1,10,R,23,Run,Rush,2,,,,,,,BASE,BLACK,BULLETS,1
28,D,2,8,R,21,Run,Scramble,-4,,,,,,,BASE,ROLL,SLAM,1
29,D,3,12,L,25,Pass,Complete,11,,,,,,,BASE,WHITE,,1
30,D,4,1,L,14,,Penalty,5,,,,,,,,,,1
31,D,1,9,L,9,Pass,Complete,8,,,,,,,BASE,ROLL,SLAM,1
32,D,2,1,M,1,Run,Sack,-8,,,,,,,BEAR,BLACK,,1
33,D,3,9,R,9,Pass,Sack,-4,,,,,,,40,BLUE,,1
34,O,1,10,M,-20,Run,Rush,19,ACE BACK,AKRON REAM,,,,,,,,2
35,O,1,10,M,-39,Run,Rush,6,TRACE YAK,HOUSTON GUY,,,,,,,,2
36,O,2,4,M,-45,Pass,Complete,1,LT DING 5,ROCKET Z,,,,,,,,2
37,O,3,3,M,-46,Pass,Complete,43,LT TRACE 6,BEAR BIG Q,,,,,,,,2
38,O,1,10,M,11,Run,Rush,1,LT TROFF BACK,COUGAR MAX,,,,,,,,2
39,O,2,9,R,10,Run,Rush,5,DING,LONGHORN,,,,,,,,2
40,O,3,4,R,5,Run,"Rush, TD",5,ACE,SOONER,,,,,,,,2
41,D,1,10,L,-29,Pass,Incomplete,0,,,,,,,BASE,THUNDER,BULLETS,1
42,D,2,10,R,-29,,Penalty,-5,,,,,,,,,,1
43,D,2,15,R,-24,Pass,Incomplete,0,,,,,,,40,LIGHTNING,,1
44,D,3,15,R,-24,,Penalty,15,,,,,,,BASE,BLUE,,1
45,D,1,10,R,-39,Run,Rush,3,,,,,,,40,BLUE,,1
46,D,2,7,R,-43,Pass,Complete,3,,,,,,,BASE,BLUE,,1
47,D,3,3,L,-46,,Penalty,-5,,,,,,,,,,1
48,D,3,8,L,-41,Pass,Complete,2,,,,,,,40,BLUE,,1
49,O,1,10,L,-24,Pass,Penalty,-10,TREY SHADOW 3,LONGHORN Q,,,,,,,,2
50,O,1,20,R,-14,Run,Rush,0,TRIO BACK 3,HOUSTON GUY Q,,,,,,,,2
51,O,2,20,L,-14,Pass,"Complete, TD",86,,,,,,,,,,2
52,D,1,10,M,-20,Pass,Incomplete,0,,,,,,,BASE,BLUE,,1
53,D,2,10,M,-20,Pass,Complete,6,,,,,,,BASE,ORANGE,,1
54,D,3,4,M,-26,Pass,Complete,55,,,,,,,BASE,BLUE,,1
55,D,1,10,L,19,,Penalty,5,,,,,,,,,,1
56,D,1,5,L,14,Pass,Incomplete,0,,,,,,,BASE,BLUE,,1
57,D,2,5,L,14,Pass,Complete,7,,,,,,,40,,,1
58,D,1,7,L,7,Run,Rush,4,,,,,,,40,LIGHTNING,,1
59,D,2,3,R,3,Run,"Rush, TD",3,,,,,,,BASE,BLACK,BULLETS,1
60,O,1,10,M,-31,Run,Rush,17,TRIO BACK,DEVIL FRONT,,,,,,,,2
61,O,2,7,L,-48,Pass,Complete,12,LT DOS BACK SQUEEZE,BELT FLOOD,,,,,,,,2
62,O,1,10,L,48,Pass,Complete,2,TRIO BACK,OKLAHOMA,,,,,,,,2
63,O,2,8,L,36,Pass,Scramble,2,TREY,POUT,,,,,,,,2
64,O,3,6,R,34,Pass,Complete,2,LT TRIO BACK,ROCKET,,,,,,,,2
65,O,4,4,R,32,,Timeout,,,,,,,,,,,2
66,O,4,4,R,30,Pass,Complete,10,DOS BACK SQUEEZE,SMASH,,,,,,,,2
67,O,1,10,R,20,Pass,Incomplete,0,LT DOS BACK,AKRON REAM SPEAR,,,,,,,,2
68,O,2,10,L,20,Run,Rush,8,LT DOS,TEXAS,,,,,,,,2
69,O,3,2,L,12,Run,Rush,1,NASCAR ALL,AKRON READ,,,,,,,,2
70,O,4,1,L,11,Run,Rush,2,LT DING,AKRON REAM,,,,,,,,2
71,O,1,9,L,9,Pass,Incomplete,0,LT DING,SMASH,,,,,,,,2
72,O,2,9,L,9,Pass,"Complete, TD",9,ACE BACK,SOLO,,,,,,,,2
73,D,1,10,M,-6,,,0,,,,,,,,,,2
74,O,1,10,M,-20,Run,Rush,2,ACE BACK,COUGAR HUG,,,,,,,,3
75,O,2,8,M,-22,Pass,Incomplete,0,ACE,ZORRO,,,,,,,,3
76,O,3,8,M,-22,Run,Scramble,8,LT TRIO BACK 4,SCISSORS,,,,,,,,3
77,O,1,10,R,-30,Pass,Complete,0,LT QUAD,NASCAR DIAMOND,,,,,,,,3
78,O,2,10,R,-31,Pass,Complete,11,LT DOS BACK 2,SHOCK SLICE,,,,,,,,3
79,O,1,10,L,-42,Pass,Complete,18,LT DOS 2,BAYLOR BIG Q,,,,,,,,3
80,O,1,10,L,40,Pass,Complete,3,DING 2,LONGHORN Q,,,,,,,,3
81,O,2,7,L,37,Pass,"Complete, TD",37,LT DOS,DEAL,,,,,,,,3
82,D,1,10,R,-28,Run,Rush,3,,,,,,,BASE,THUNDER,BLAST,3
83,D,2,7,R,-31,Run,Rush,7,,,,,,,BASE,LIGHTNING,,3
84,D,1,10,R,-38,Run,Rush,1,,,,,,,WIDE,BLUE,,3
85,D,2,9,R,-39,Pass,Incomplete,0,,,,,,,WIDE,BLUE,,3
86,D,3,9,M,-39,Pass,Complete,23,,,,,,,BASE,WHITE,SLAM,3
87,D,1,10,M,38,Run,Sack,-9,,,,,,,BASE,ROLL,,3
88,D,2,19,L,47,Pass,Incomplete,0,,,,,,,WIDE,,,3
89,D,3,19,L,47,,Penalty,-10,,,,,,,WIDE,BLUE,,3
90,D,3,29,L,-43,Pass,Incomplete,0,,,,,,,WIDE,ORANGE,,3
91,O,1,10,M,-20,Pass,Incomplete,0,TREY,ZIP READ,,,,,,,,3
92,O,2,10,R,-20,Pass,Complete,28,LT TRIO BACK,DUKE FRONT,,,,,,,,3
93,O,1,10,R,-48,,Penalty,-5,NASCAR ALL,NASCAR ALL NASA,,,,,,,,3
